PName,Yseason,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B10,B11,B12,VHI,SMCI,EVI,GNDVI,SAVI,SR,EDI,TCI,albedo,Yield,CWP,ETa,LST
CP20,LS2022,0.51445,0.49985557,0.48614443,0.51465557,0.51074443,0.54991113,0.58595557,0.5597722,0.61035557,0.21002778,0.10351111,0.5180778,0.3800611,0.022050232,0.17422526,-0.34206107,0.09540509,0.09431135,0.062878914,0.062278036,0.015144443,0.28272748,3.3344043,5.963433,55.91615,38.85
CP21,LS2022,0.532,0.5100278,0.50290557,0.5427722,0.53531113,0.57883887,0.61848335,0.5788722,0.6434,0.21920557,0.10343889,0.54501665,0.40892778,0.014979794,0.15925524,-0.15012573,0.096252404,0.07639399,0.050933067,0.05262177,0.004560137,0.34283814,1.8186375,6.921923,26.273941,38.85
CP22,LS2022,0.51776665,0.50121113,0.49188335,0.5257722,0.52271665,0.56339443,0.59996665,0.56851665,0.62329443,0.2095889,0.10351666,0.53026665,0.39284443,0.020056972,0.16906442,-0.3164361,0.09773418,0.08689664,0.057935283,0.053624216,0.007339191,0.3384794,1.9758651,6.8269186,28.942636,38.85
CP23,LS2022,0.5097,0.4907722,0.4833722,0.52265,0.51925,0.5651722,0.60449443,0.56201113,0.63051665,0.20938333,0.10339445,0.5369778,0.40101667,0.00810835,0.1522018,-0.9840211,0.098088,0.07854317,0.05236575,0.050961792,0.000929375,0.25812036,4.0614246,5.49362,73.92986,38.04
CP24,LS2022,0.48895557,0.48233887,0.47243887,0.50426113,0.49981665,0.54889443,0.58745,0.5613778,0.6121222,0.2054111,0.10347222,0.52773335,0.3952389,0.015727714,0.15834914,0.16745368,0.109506704,0.10484995,0.06990445,0.069817945,0.013915805,0.33459252,2.0703257,6.7825418,30.524347,38.04
CP25,LS2022,0.4990278,0.48176665,0.4737,0.49925,0.48704443,0.5571778,0.60555557,0.57038887,0.63146665,0.2113389,0.10363334,0.4984278,0.37490557,0.059813768,0.19913548,0.3714256,0.11788633,0.13367274,0.08912084,0.10059081,0.015788019,0.25444862,5.1411816,6.307203,81.493454,38.04
CP26,LS2022,0.50330557,0.4798722,0.4709,0.49635,0.49313887,0.54630557,0.58859443,0.5560222,0.61271665,0.21420557,0.10361666,0.50629443,0.37952222,0.036770727,0.17787635,0.8052751,0.10462388,0.1217989,0.08120529,0.08012997,0.015333689,0.24904375,4.0026504,5.504581,72.71896,39.27
CP27,LS2022,0.46366113,0.4333722,0.42563887,0.45430557,0.4517,0.48608335,0.51971665,0.4781,0.54250557,0.193,0.10378889,0.47965557,0.36893333,-0.016506698,0.114660755,-0.5252482,0.06905628,0.05711764,0.03808167,0.037622266,-0.006550491,0.30599383,2.435264,6.4770894,37.608,41.55
CP28,LS2022,0.48336665,0.46478335,0.45379443,0.47871665,0.47185557,0.50545557,0.54056665,0.50648335,0.56436113,0.19607778,0.10373334,0.48793887,0.3677889,0.001976461,0.14036278,0.29624018,0.067190476,0.062597655,0.0417352,0.044355415,0.003191578,0.24035037,4.343549,5.286775,82.159256,38.47
CP29,LS2022,0.47971665,0.45851113,0.4424222,0.4700278,0.46346113,0.49533335,0.52664443,0.4935,0.5477222,0.19776666,0.10361111,0.4683722,0.35137222,0.009026242,0.15240394,-0.02599964,0.06825362,0.06751585,0.04501461,0.04944744,0.010179082,0.23794092,4.381313,5.2674804,83.18136,38.47
CP30,LS2022,0.4733278,0.45488335,0.4441222,0.46648335,0.46036113,0.50051665,0.53710557,0.50686113,0.56173887,0.19121111,0.10357778,0.4758722,0.3519111,0.009676017,0.15824728,-2.1556847,0.083070174,0.08969942,0.059804287,0.060788352,0.009571169,0.21229663,4.882517,4.9003654,99.635895,38.47
CP31,LS2022,0.48198335,0.4641,0.44775,0.46863887,0.46401113,0.50593335,0.54243335,0.5117778,0.5670278,0.19460555,0.10341666,0.4805722,0.35903333,0.016440192,0.16075498,-0.76275504,0.08423368,0.09203131,0.061358694,0.063752554,0.010850458,0.23845634,4.2655205,5.3445377,79.81578,38.47
CP32,LS2022,0.49150557,0.4785,0.46723335,0.49393887,0.48869443,0.5271778,0.56303335,0.53424443,0.58438335,0.19974445,0.10335,0.51145557,0.37821667,0.005950963,0.15684116,-0.26634657,0.08664864,0.088333726,0.058893662,0.059905417,0.013209413,0.30753365,2.8494329,6.275715,45.40412,38.85
CP33,LS2022,0.50616113,0.4837278,0.47073335,0.50141113,0.5005778,0.54660557,0.5872722,0.5458,0.61278887,0.20707222,0.10336111,0.5216222,0.38838333,0.007664273,0.15460294,0.84833854,0.10024545,0.10227518,0.068188846,0.062377326,0.00551123,0.27265367,3.868588,5.6037536,69.03827,38.85
CP34,LS2022,0.53343887,0.51643887,0.50851113,0.54731665,0.54426665,0.5834778,0.6201722,0.586,0.64403335,0.21752222,0.10355,0.5589778,0.41509443,0.005588097,0.15351175,-1.1848357,0.09477634,0.07496673,0.04998137,0.047875393,0.004967336,0.34176546,1.7429515,6.971934,24.999575,38.85
CP35,LS2022,0.52914443,0.51823887,0.50509443,0.5415,0.5376222,0.57706113,0.61235557,0.58016113,0.6348222,0.21570557,0.10342222,0.53591113,0.39862778,0.02154265,0.16734202,-0.95029557,0.09327851,0.08021007,0.053477485,0.051929526,0.007918212,0.3394072,1.9312802,6.8517537,28.18715,38.85
CP36,LS2022,0.49621665,0.48646113,0.4721278,0.50133335,0.4969,0.53580557,0.57099443,0.5442,0.59236665,0.20285555,0.10343889,0.4973722,0.36834443,0.026090782,0.17141253,-0.80620754,0.089528464,0.08422413,0.056153554,0.055793613,0.010669516,0.20540272,4.7508257,5.013824,94.76718,38.04
CP37,LS2022,0.48334443,0.45984443,0.4480778,0.48394443,0.48455557,0.52518887,0.5619222,0.51695557,0.5857778,0.19992778,0.10341111,0.50493887,0.37425557,-0.011310021,0.13345721,-0.003083308,0.093545474,0.07498593,0.04999459,0.041053325,-0.008284722,0.29593763,3.028506,6.1683197,49.100685,38.04
CP38,LS2022,0.49673335,0.48196665,0.47418335,0.51065557,0.50606665,0.55875,0.6005222,0.5676278,0.62748887,0.2073611,0.10361666,0.54559443,0.40989443,0.00961212,0.15111643,0.34465218,0.11357367,0.10367049,0.06911801,0.069980025,0.010488024,0.31070787,2.8394556,6.292996,45.12105,38.04
CP39,LS2022,0.4790722,0.46458887,0.45328335,0.47265,0.46866113,0.52958335,0.57149443,0.53581665,0.58524443,0.2068,0.10363334,0.45596113,0.34208333,0.082941875,0.22416282,1.0569233,0.1104591,0.13967887,0.09312663,0.08875631,0.006065086,0.30027595,3.187887,7.1576366,44.568695,39.27
CP40,LS2022,0.44701113,0.42950557,0.42053887,0.4444778,0.44639443,0.50543335,0.54464443,0.5105,0.56988335,0.19215555,0.10362222,0.48386665,0.35945557,0.018243592,0.16695784,-0.9131382,0.1238429,0.14690432,0.09794406,0.087216415,0.00693356,0.32360348,2.290204,6.6111073,34.642025,39.27
CP41,LS2022,0.46853335,0.4544778,0.44494443,0.47076665,0.4615,0.49233887,0.52366113,0.49895557,0.54623887,0.1972,0.10414445,0.4828722,0.3684389,-0.000214376,0.13529067,-0.03267509,0.06900416,0.062024143,0.041352753,0.04928683,0.012050047,0.4059665,0.6988656,7.482536,9.339956,41.55
CP42,LS2022,0.47050557,0.45728335,0.44215,0.45736665,0.45111113,0.50556113,0.54171113,0.5129222,0.56191665,0.19582778,0.10382778,0.45315557,0.33623333,0.05816307,0.20438297,-1.010367,0.09327374,0.12769157,0.08513486,0.08771222,0.009234155,0.28215834,3.6635513,5.7517533,63.697693,38.47
CP43,LS2022,0.47021665,0.4483222,0.43256113,0.4526778,0.44876113,0.4838222,0.51708335,0.48609443,0.5391222,0.19113334,0.1037,0.46538887,0.34745,-0.004615466,0.13841927,2.6248412,0.07164833,0.078318104,0.052216448,0.052489292,0.005528542,0.15853141,5.535266,4.389147,126.112595,38.47
CP44,LS2022,0.4573222,0.44371665,0.42616113,0.43866113,0.4356722,0.47473887,0.50808335,0.48499443,0.52865557,0.18372222,0.1035,0.44978887,0.33254443,0.01788965,0.16691248,-1.0421773,0.07589568,0.098217435,0.06548326,0.06481183,0.014146124,0.21395062,4.8808057,4.9094486,99.41707,38.47
CP45,LS2022,0.48274443,0.4666,0.45326113,0.47156113,0.4702722,0.51684443,0.55580557,0.5251278,0.58073887,0.1944,0.10337778,0.49035557,0.36242778,0.019932661,0.17038448,-4.9446616,0.09577657,0.11747779,0.07832454,0.072037786,0.011710078,0.27962875,3.643109,5.765405,63.189625,38.47
CP46,LS2022,0.50058887,0.48749443,0.47486665,0.5005,0.49671665,0.5423222,0.5794278,0.54656665,0.60565557,0.20173334,0.10335555,0.51781665,0.38892778,0.014821335,0.15901248,0.1314347,0.09056947,0.098598525,0.065737285,0.06464085,0.007754559,0.29259405,3.2653337,6.0048475,54.37831,38.85
CP47,LS2022,0.48623335,0.46336665,0.45123335,0.48074443,0.4786722,0.52383887,0.56119443,0.52615557,0.5850722,0.19649445,0.10340555,0.50799443,0.37822778,0.005454988,0.15291591,0.5508888,0.09710483,0.099304795,0.06620825,0.06320251,0.008718466,0.27438766,3.5063408,5.854539,59.89771,38.85
CP48,LS2022,0.50885557,0.4936722,0.48389443,0.5187278,0.5129778,0.55591665,0.59489443,0.55825557,0.61881113,0.20447222,0.10345,0.53061665,0.39819443,0.009579737,0.15211737,-0.4431506,0.09297876,0.07913105,0.05275788,0.053954955,0.004791177,0.36208013,1.1586667,7.334954,15.798866,38.85
CP49,LS2022,0.52578335,0.50923887,0.50048887,0.53134443,0.52558887,0.56630557,0.60483887,0.56756113,0.62798335,0.2118611,0.10336666,0.5263278,0.3937111,0.019434437,0.16461395,-0.3086624,0.082947165,0.07644596,0.050967846,0.05061609,0.003626358,0.34718627,1.6181434,7.0467854,22.96311,38.85
CP50,LS2022,0.51189443,0.4972222,0.48545557,0.5216778,0.51890557,0.5607222,0.59958887,0.56478335,0.62498335,0.20946667,0.1034,0.53484443,0.3976111,0.013395797,0.16064279,0.28310382,0.10003791,0.085574515,0.0570538,0.05449396,0.007224689,0.37345126,0.711156,7.6143193,9.339718,38.04
CP51,LS2022,0.50376113,0.49126113,0.48146113,0.51611665,0.51103887,0.5544278,0.59275,0.55958887,0.61544443,0.20586667,0.10349445,0.52600557,0.38350557,0.010428898,0.16353013,2.2057939,0.10173004,0.09328327,0.062193524,0.05928417,0.008097487,0.29863372,3.1534456,6.0944405,51.743046,38.04
CP52,LS2022,0.48279443,0.46198887,0.45461665,0.48630557,0.4851722,0.53653887,0.57801113,0.54235557,0.60371665,0.20251666,0.10349445,0.51298887,0.38039443,0.017909862,0.16167119,-4.31786,0.11356166,0.11871266,0.07914781,0.0714841,0.00835202,0.28057098,3.4970212,5.8706236,59.569485,38.04
CP53,LS2022,0.48416665,0.4701222,0.45986665,0.49140557,0.48695557,0.54028887,0.57886113,0.54831113,0.60338335,0.20418889,0.10368334,0.51586113,0.38331667,0.02036921,0.16649933,-0.23122941,0.11558122,0.11652632,0.0776899,0.07645422,0.010763566,0.3314689,2.0836628,6.750281,30.867825,39.27
CP54,LS2022,0.45598335,0.43714443,0.42608335,0.44534443,0.44820557,0.5160278,0.55980557,0.52048887,0.58158335,0.19577222,0.10352778,0.4476,0.3314389,0.07245836,0.22252867,-0.69589883,0.13137007,0.16416343,0.10945044,0.09743148,0.00831338,0.25896597,3.8952612,5.6227674,69.25686,39.27
CP55,LS2022,0.50125,0.4942778,0.4789778,0.49811113,0.49856113,0.55358335,0.59516665,0.56453887,0.6195222,0.20680557,0.10368889,0.50328887,0.37079443,0.04818692,0.19817065,-1.9166011,0.11071243,0.14830287,0.09887641,0.086973965,0.016198864,0.30093262,3.3753591,5.913907,57.09792,39.27
CP56,LS2022,0.48429443,0.46994443,0.45846113,0.48685,0.47459443,0.50898335,0.5410222,0.51011665,0.56375557,0.20118889,0.10363334,0.47800557,0.35767778,0.015012116,0.15868337,-0.03028018,0.06722021,0.060305692,0.040207285,0.054787736,0.009406396,0.41448465,0.6966003,7.458207,9.34005,41.55
