PName,Yseason,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B10,B11,B12,VHI,SMCI,EVI,GNDVI,SAVI,SR,EDI,TCI,albedo,Yield,CWP,ETa,LST
CP503,LS2022,0.47513335,0.46675,0.45398887,0.48043335,0.48190557,0.52645,0.56736113,0.5241222,0.58654443,0.19327222,0.10361666,0.4749278,0.34820557,0.030316764,0.17968148,-9.987791,0.09344779,0.102642305,0.06843363,0.057778727,-0.00031627,0.22061935,4.7010522,5.0163774,93.71415,39.87
CP504,LS2022,0.47125557,0.45896665,0.45395557,0.4973722,0.48478887,0.53524443,0.5802222,0.54658335,0.60413887,0.19385,0.10347778,0.49294443,0.36110557,0.04080094,0.19318043,0.41012037,0.11714067,0.10169145,0.067799136,0.077882566,0.013777768,0.27402607,3.7694211,5.663177,66.56927,39.87
CP505,LS2022,0.48191113,0.47677896,0.4745737,0.53161665,0.52893887,0.56585,0.60671113,0.56192104,0.6271722,0.20117222,0.10343158,0.55566113,0.42098335,-0.004129694,0.13335496,0.03296486,0.1052523,0.062178794,0.04145505,0.039585333,0.000558562,0.2911588,3.257953,6.003646,54.26652,39.3
CP506,LS2022,0.4895684,0.4742579,0.46738945,0.51181577,0.50811577,0.54913687,0.5902,0.5539,0.61039473,0.20247894,0.10364736,0.53173687,0.40285264,0.010750667,0.14866471,0.083963156,0.11142145,0.08447293,0.056319054,0.05380324,0.007586184,0.2699899,3.7808308,5.660222,66.79651,39.3
CP507,LS2022,0.46723687,0.4435421,0.4377421,0.47236313,0.47334736,0.5143,0.5512263,0.5114579,0.57143687,0.19323158,0.10365264,0.48455264,0.35565264,0.008909242,0.16076478,-4.212828,0.10200496,0.09593289,0.0639606,0.05325276,-0.001001429,0.26157945,3.9317961,5.5627327,70.68208,39.3
CP508,LS2022,0.48534736,0.47061577,0.4674263,0.52059473,0.5139421,0.55089473,0.5900263,0.55565264,0.6121,0.20408422,0.10353684,0.53534736,0.4054,0.004477099,0.14249605,0.07073194,0.11418268,0.07105598,0.047373943,0.048948783,0.006270424,0.277002,3.7229275,5.702287,65.29759,39.3
CP509,LS2022,0.47697896,0.4800263,0.46934736,0.50204736,0.5075579,0.54230527,0.57981055,0.53981055,0.5984737,0.1996421,0.10358422,0.5058,0.37605264,0.017396607,0.16283256,-0.3445528,0.0925191,0.09374759,0.062503956,0.042613324,-0.00127339,0.2690995,3.819015,5.641058,67.700356,38.82
CP510,LS2022,0.48883687,0.4688737,0.4661737,0.53328423,0.5328,0.5668421,0.60571055,0.55272104,0.62437896,0.20977896,0.10388948,0.57621577,0.44267896,-0.036235686,0.09525354,-0.27832276,0.113234095,0.0410995,0.027401494,0.023464756,-0.012478725,0.2826645,3.4967576,5.858006,59.692036,38.82
CP511,LS2022,0.51110527,0.49441577,0.49185264,0.5561684,0.54745264,0.5826421,0.62008423,0.58470527,0.64100527,0.22092104,0.10403684,0.5715579,0.42828423,-0.008149115,0.13234402,0.21158825,0.11600067,0.05446215,0.03631039,0.04216603,0.003380455,0.27557087,3.6697437,5.7475543,63.84884,38.82
CP512,LS2022,0.51683687,0.49060527,0.48518423,0.52428423,0.52878423,0.56907896,0.611,0.5601263,0.63707896,0.22004736,0.10398422,0.53095264,0.39287368,0.008104456,0.15442863,2.0115685,0.101042606,0.086856395,0.057908837,0.042860452,-0.003851274,0.2272973,4.6356665,5.0565877,91.681725,40.21
CP513,LS2022,0.50848423,0.4886737,0.4849579,0.5384579,0.5368316,0.5667421,0.60411577,0.5709684,0.62561055,0.21913684,0.10422106,0.5562,0.41022104,-0.005746264,0.14274085,-0.12710835,0.10843751,0.062847435,0.04190098,0.039695904,0.008777293,0.25648138,4.0254016,5.4699206,73.591774,40.21
CP514,LS2022,0.50001665,0.49471665,0.4844,0.51053335,0.50035,0.5415722,0.57958335,0.55241665,0.60406113,0.20320555,0.10311666,0.51214443,0.38042222,0.023325048,0.16981187,-0.7313731,0.08523847,0.08943969,0.059630793,0.06682369,0.016286412,0.3688724,0.7049403,7.5477786,9.339705,42.26
CP515,LS2022,0.47825,0.46156113,0.4496,0.47601113,0.4699222,0.50645,0.54060557,0.51134443,0.56279443,0.19362778,0.10316666,0.47705,0.3525389,0.015871292,0.16434777,-3.3455484,0.08165433,0.07808726,0.05206214,0.05510053,0.009878474,0.30545437,2.633245,6.3986907,41.1931,40.14
CP516,LS2022,0.48723887,0.47045557,0.461,0.49361665,0.49273887,0.5334222,0.5722722,0.5319278,0.5982722,0.19821666,0.10320555,0.51958335,0.38921667,-0.002411786,0.14051294,0.3337823,0.09136496,0.07890932,0.052609947,0.04835345,-0.000260066,0.31870696,2.3675332,6.5661917,36.064728,40.14
CP517,LS2022,0.49761113,0.48283887,0.47885,0.51981113,0.51554443,0.55574443,0.59726113,0.55456665,0.6244222,0.20513333,0.10309445,0.5384278,0.39752222,-0.003504433,0.14536768,0.17725658,0.09562769,0.07536703,0.05024833,0.050607305,0.003277646,0.3918684,0.706635,7.565803,9.339854,40.14
CP518,LS2022,0.52540557,0.5082,0.4956,0.52544443,0.52076113,0.56455,0.60520557,0.56984443,0.63071665,0.21145557,0.10311666,0.5243778,0.38253333,0.026686408,0.18264173,1.4173366,0.09414288,0.099903755,0.06660777,0.06564559,0.010624114,0.39375862,0.7046611,7.5446067,9.339931,40.14
CP519,LS2022,0.50889443,0.48985,0.47924443,0.5110222,0.51060557,0.54730557,0.58465557,0.5442778,0.60686665,0.2062111,0.10327778,0.5234,0.38347778,0.003460544,0.15692584,0.52452177,0.08312347,0.07407326,0.04938607,0.04325845,-0.000324754,0.38498163,0.7056915,7.555648,9.33992,39.52
CP520,LS2022,0.4747,0.46006113,0.4546,0.49185,0.48331113,0.52003887,0.55516665,0.5296278,0.57651665,0.20175555,0.10357778,0.52700557,0.39593333,-0.007814436,0.1327833,0.17090918,0.0910774,0.07011094,0.046743613,0.05272774,0.011216818,0.46731544,0.6919747,7.408241,9.340608,39.52
CP521,LS2022,0.45891665,0.4383278,0.4324222,0.47668887,0.47049443,0.5123222,0.55114443,0.51301665,0.57451665,0.19467778,0.10351111,0.51793335,0.38925557,-0.01497417,0.12739077,0.21646589,0.10454435,0.07394229,0.04929825,0.054469615,0.004746835,0.44360563,0.6976192,7.468891,9.340331,39.52
CP522,LS2022,0.49943335,0.49203335,0.48311665,0.52248887,0.51701113,0.5544222,0.59298335,0.55948887,0.6141778,0.2063389,0.10339445,0.54450557,0.41314443,0.006667542,0.14399539,-0.13218227,0.09363627,0.07232267,0.048218347,0.05112265,0.009107965,0.40994436,0.7021598,7.517724,9.340057,39.52
CP523,LS2022,0.48718335,0.47564443,0.46201665,0.49728887,0.4965,0.53850557,0.5788778,0.54170557,0.60293887,0.19998334,0.10321111,0.53496665,0.4001611,-0.004795598,0.13790663,-0.037368998,0.10292553,0.08938826,0.0595963,0.054615904,0.006251524,0.3191957,2.673816,6.39388,41.835655,39.02
CP524,LS2022,0.4608222,0.4545278,0.44680557,0.4882,0.4874278,0.52848887,0.5681222,0.53114443,0.58961665,0.19125,0.10321111,0.5271,0.399,-0.010634866,0.12660502,0.57617635,0.11061015,0.08466535,0.056447346,0.051719997,0.004353862,0.24673083,4.400012,5.254925,83.752335,39.02
CP525,LS2022,0.4493222,0.42880557,0.4231,0.46545557,0.46358335,0.50416665,0.54360557,0.5016778,0.56666665,0.18901111,0.10317222,0.50653335,0.38246667,-0.020209188,0.11902673,-0.4399785,0.11298034,0.083271585,0.055518564,0.052042622,0.000693392,0.25551668,4.0073704,5.528353,72.50029,39.02
CP526,LS2022,0.45631665,0.42400557,0.4169,0.45071113,0.45538335,0.50395,0.54484443,0.505,0.56945557,0.19126666,0.10327778,0.49203887,0.36745,0.001244912,0.14574876,-0.30653483,0.12334339,0.11973257,0.07982768,0.066622734,0.005357726,0.25841668,4.0427268,5.5153894,73.30083,37.97
CP527,LS2022,0.44141113,0.40998887,0.3995889,0.41031665,0.41990557,0.48576113,0.53068335,0.47748887,0.54878335,0.19121111,0.10329445,0.4157778,0.30767778,0.06696938,0.21869922,-1.1551384,0.11625131,0.17228182,0.11486474,0.085088156,-0.012703528,0.24408333,4.950793,6.3563485,77.91125,37.97
CP528,LS2022,0.4487,0.4270222,0.4183778,0.43328887,0.43771665,0.48948335,0.5303,0.4995778,0.55275557,0.18833334,0.1034,0.42591665,0.31728333,0.08404279,0.23370963,-50.981304,0.11678858,0.16187413,0.10792517,0.087870084,0.016054843,0.26092753,4.1286885,6.527831,63.311176,37.97
CP529,LS2022,0.4515278,0.42555557,0.41138887,0.43494443,0.44139443,0.49621113,0.53613887,0.49543887,0.556,0.18961666,0.10356111,0.46685,0.3465389,0.01843328,0.16882502,-0.36954394,0.11747818,0.13131838,0.087552235,0.07352915,1.40E-05,0.30012462,3.23895,6.0508795,53.54294,37.97
CP530,LS2022,0.4405778,0.41711113,0.40786667,0.43913887,0.43836665,0.47466665,0.509,0.47464443,0.5266,0.1848,0.10367778,0.44665557,0.33519443,0.016426187,0.15690163,-0.14908573,0.09098926,0.07113361,0.047425803,0.04502787,0.001452696,0.31800687,2.3493596,6.5944743,35.65034,39.21
CP531,LS2022,0.4493278,0.43631665,0.41916113,0.42176113,0.43205557,0.5037722,0.5504778,0.51836113,0.57061113,0.18745555,0.10364445,0.42965557,0.31721667,0.09765214,0.24581662,-2.967963,0.1293259,0.20843062,0.13896413,0.1142536,0.015600707,0.3369623,1.9424552,6.8429713,28.386417,39.21
CP532,LS2022,0.4409222,0.41758887,0.4052111,0.42529443,0.43201665,0.48655557,0.5252278,0.4932278,0.5436778,0.18672778,0.10397778,0.44396113,0.3256889,0.050860748,0.20379563,6.634602,0.11855179,0.14633302,0.09756279,0.08140996,0.011090406,0.29134893,3.2339473,6.0245094,53.68163,39.21
CP533,LS2022,0.447,0.42168335,0.41403887,0.4242722,0.4308778,0.49680557,0.5378278,0.49901113,0.5563722,0.18620555,0.10392222,0.41069443,0.30327778,0.10314604,0.2495379,-48.548157,0.11066604,0.17009103,0.11340323,0.0936532,0.006924923,0.3451704,1.5371079,7.0951815,21.66822,39.21
CP534,LS2022,0.51866113,0.49719443,0.48643887,0.5142,0.51263887,0.55651665,0.59443335,0.54763335,0.61358335,0.21235,0.104,0.49108335,0.36779443,0.046346996,0.18539725,0.25959587,0.072369896,0.06854157,0.045697868,0.043018654,-0.006953904,0.3669518,0.96078174,7.4537115,12.905658,39.14
CP535,LS2022,0.46133335,0.45106665,0.436,0.45718887,0.4568222,0.50275557,0.5399222,0.51030557,0.5559222,0.1944,0.10431111,0.45121665,0.33651667,0.057509698,0.2007809,0.060417775,0.09873011,0.115910724,0.07727994,0.07150943,0.012947603,0.3435904,1.8960615,6.8733997,27.609007,39.14
CP536,LS2022,0.44533887,0.4265278,0.41903887,0.45428335,0.45966665,0.51068887,0.55181113,0.51360557,0.57654443,0.19552778,0.10448889,0.5062,0.38492778,0.000603389,0.13578281,1.316377,0.1270606,0.11896408,0.079314984,0.065618046,0.002785761,0.26221773,4.0066147,5.522829,72.54852,39.14
CP537,LS2022,0.4620222,0.43485557,0.42585557,0.44993335,0.46081113,0.5179778,0.56235557,0.52150557,0.5928222,0.20547222,0.10487222,0.50531113,0.38317778,0.006516774,0.14202961,2.9091158,0.13004802,0.15112694,0.10075862,0.077977434,0.00659985,0.24106534,4.8529565,5.7147727,84.89624,37.95
CP538,LS2022,0.47071113,0.44871113,0.43461665,0.44456665,0.46000557,0.52648887,0.57174443,0.53840557,0.59501665,0.20577778,0.10524445,0.4576278,0.3449,0.080466144,0.22085564,-153.67685,0.14233321,0.21019246,0.14013933,0.10556843,0.016590748,0.19415984,6.2940264,5.764289,109.190285,37.95
CP539,LS2022,0.45823335,0.44318335,0.4278778,0.4418278,0.44374443,0.4960778,0.53463887,0.5055778,0.55366113,0.20016666,0.10488334,0.43340557,0.3322,0.067307286,0.19371043,1.0743198,0.10310957,0.13619427,0.09080325,0.08327184,0.012681429,0.16082989,5.5884824,4.377706,127.661964,37.95
CP540,LS2022,0.44221113,0.42349443,0.41250557,0.42948887,0.43393887,0.49919443,0.5415278,0.5034778,0.5625778,0.19971111,0.10495,0.42419443,0.32019443,0.07166469,0.20761527,2.274301,0.12452475,0.16136757,0.107586406,0.094792396,0.007662861,0.24842402,4.1633066,5.436878,76.593445,37.95
CP541,LS2022,0.47399443,0.46375557,0.4460278,0.45094443,0.46521665,0.53921113,0.59338887,0.55045557,0.61363887,0.21219443,0.1054,0.42014443,0.30937222,0.13961852,0.28654253,-2.2308414,0.14212629,0.23048307,0.15366744,0.12083528,0.018086245,0.36664462,1.1381569,7.406867,15.385014,36.54
CP542,LS2022,0.47424443,0.45326665,0.43960557,0.4472,0.45328335,0.5246778,0.57151665,0.5360778,0.5916222,0.2084389,0.1053,0.4297278,0.3234889,0.1151978,0.25568986,-0.71336997,0.13019969,0.20335272,0.13557951,0.1185685,0.016433056,0.300564,3.3287522,6.0228686,55.292896,36.54
CP543,LS2022,0.51684443,0.50824443,0.49550557,0.51388887,0.51485557,0.57868335,0.6235722,0.58969443,0.64491113,0.2211611,0.10522222,0.48785557,0.3668389,0.094267555,0.23657957,-0.9092097,0.11163427,0.15233736,0.1015656,0.09058649,0.012446386,0.3345974,1.9750369,6.882062,28.712917,36.54
CP544,LS2022,0.50133887,0.48538335,0.47516665,0.4969778,0.50118335,0.56185,0.60643887,0.56576113,0.62825,0.2115889,0.10460555,0.49139443,0.36877222,0.059189428,0.19768706,2.0868115,0.10840947,0.13065813,0.08711107,0.07606647,0.005770879,0.33169207,2.6445261,6.459181,41.055687,36.54
CP545,LS2022,0.50235,0.4799278,0.46781113,0.48225557,0.48356113,0.53501113,0.57530557,0.5418222,0.59333335,0.21387222,0.10441666,0.4401778,0.33674443,0.10249111,0.23096712,0.11462283,0.092262164,0.13522057,0.09015462,0.075579725,0.00849554,0.4466173,0.6976566,7.4691954,9.340452,38.09
CP546,LS2022,0.48105557,0.4634,0.4498778,0.47323887,0.47155557,0.51445557,0.5516278,0.521,0.56956113,0.2082,0.10462778,0.45063335,0.3324611,0.058191564,0.20515563,-1.3015442,0.09341466,0.10445782,0.069644,0.065270096,0.008653017,0.41863358,0.70289984,7.525562,9.340164,38.09
CP547,LS2022,0.48303335,0.4611278,0.45240557,0.47606665,0.4762222,0.55251665,0.6044,0.56120557,0.62468887,0.21065557,0.10469445,0.45609443,0.32875557,0.098545745,0.25611654,1.3034511,0.14398262,0.18885584,0.12591359,0.11598283,0.012760607,0.38803288,0.7094093,7.5954943,9.33987,38.09
CP548,LS2022,0.4841778,0.45986665,0.4523278,0.48303887,0.4801278,0.5467222,0.59426113,0.55253887,0.6185222,0.2099889,0.1045,0.47013335,0.34112222,0.06414198,0.22036847,-3.3629632,0.13480318,0.15618946,0.10413439,0.09521446,0.007622116,0.3859979,0.70726636,7.572544,9.339877,38.97
CP549,LS2022,0.50040557,0.4811,0.4771778,0.50041665,0.50068335,0.56223335,0.60874443,0.57115,0.63471665,0.21284443,0.10470555,0.4785222,0.34359443,0.0750086,0.23697121,-1.1211478,0.12685128,0.16522503,0.11015878,0.09488262,0.012046271,0.3170569,2.3991316,6.558734,36.59897,38.97
CP550,LS2022,0.52306113,0.49604443,0.4880222,0.52458887,0.5222222,0.57315557,0.6172,0.57041113,0.64243335,0.21564443,0.10503334,0.50731113,0.36571667,0.04488357,0.19935095,-0.4010279,0.10759526,0.11390265,0.07594115,0.071904846,0.009418808,0.25661176,4.0515876,5.495953,73.72096,38.97
CP551,LS2022,0.53953887,0.52134443,0.5148278,0.55749443,0.5511722,0.59975557,0.64599443,0.59571665,0.6718778,0.21830557,0.10487778,0.52778335,0.3852111,0.034606643,0.18326592,-0.39626378,0.101217434,0.08527897,0.056856994,0.05346882,-0.00125584,0.26086742,4.0100144,5.5130777,72.737,38.97
CP552,LS2022,0.55189443,0.53729443,0.52458887,0.56021665,0.56280557,0.60409443,0.64948887,0.59698887,0.67383887,0.22528333,0.10476666,0.52706665,0.39030557,0.028412195,0.16737671,0.3494311,0.08667201,0.07758482,0.051727124,0.034563523,-0.011130378,0.26428497,3.928292,5.5547223,70.72159,39.63
CP553,LS2022,0.5447222,0.5258722,0.51744443,0.56065557,0.54674443,0.59168335,0.63785,0.60271665,0.66130557,0.22047222,0.10466111,0.52251665,0.37924443,0.056218393,0.2094971,-1.2482709,0.105273806,0.083177716,0.055455558,0.06728283,0.015382149,0.27048266,3.664081,5.734437,63.9053,39.63
CP554,LS2022,0.55820557,0.54065,0.53268887,0.57361665,0.56458887,0.60795,0.6517778,0.6093722,0.67659443,0.22941667,0.10418334,0.53695557,0.38887222,0.04144585,0.19580583,0.5818235,0.092264324,0.07663239,0.051092,0.05544156,0.005676203,0.27819735,3.5337913,5.8238416,60.680702,39.63
CP555,LS2022,0.52755,0.52110557,0.5142722,0.5550222,0.54778335,0.58616113,0.62590557,0.58980557,0.6478278,0.21492222,0.10400555,0.52270557,0.3838111,0.030027272,0.17550786,1.780511,0.09556261,0.07368595,0.04912758,0.048628114,0.002584245,0.26397416,3.948285,5.530228,71.39937,39.63
CP556,LS2022,0.52678887,0.51211113,0.50316113,0.53566113,0.53251113,0.57808887,0.62071113,0.57654443,0.64523887,0.2131,0.1038,0.50838335,0.36853333,0.039699744,0.1918966,0.33202747,0.0959234,0.0928973,0.061936267,0.055514574,-0.0004928,0.2579012,4.1858335,5.366486,78.04326,40.08
CP557,LS2022,0.51941665,0.5036278,0.49606665,0.53031665,0.52799443,0.57021665,0.61140557,0.5675222,0.63239443,0.20795557,0.10376666,0.50150557,0.36611667,0.04324068,0.1923874,-1.3266585,0.09167838,0.08749574,0.058334894,0.055405483,0.005239048,0.24468146,4.2634023,5.309666,80.29517,40.08
CP558,LS2022,0.52325557,0.49753887,0.4855,0.51623887,0.5145722,0.56004443,0.5990278,0.55550557,0.61961665,0.21013333,0.10392778,0.4883278,0.36203333,0.044686873,0.18822931,-0.20642884,0.08884141,0.08677256,0.05785262,0.052715648,-0.001491875,0.28604075,3.5020615,5.828183,60.104664,40.08
CP559,LS2022,0.5401222,0.5245278,0.51966113,0.56271665,0.55604443,0.59540557,0.63636113,0.59801665,0.65745,0.2207611,0.10399445,0.54203887,0.40905,0.033723522,0.17005207,13.626217,0.091305204,0.06823603,0.045493662,0.04888828,0.006848107,0.29180706,3.0942769,6.080533,50.897675,40.67
CP560,LS2022,0.5438278,0.5320778,0.52805557,0.5704778,0.5630778,0.60498335,0.64776665,0.5976778,0.6683222,0.2203,0.10387778,0.549,0.4131778,0.026191145,0.16561937,-0.26843503,0.08242225,0.057913683,0.038611785,0.044027645,-0.002894702,0.33647692,1.7206947,6.939466,24.805248,40.67
CP565,LS2022,0.4619278,0.44088335,0.4349778,0.47091665,0.47041113,0.5097,0.5485722,0.5046222,0.56988335,0.19395,0.10355,0.48203335,0.36241667,0.000275395,0.13718113,2.3984978,0.093925126,0.07472669,0.049821373,0.044762623,-0.004110697,0.2644966,3.864738,5.588798,69.15156,39.87
CP566,LS2022,0.48653335,0.46260557,0.45604443,0.49831665,0.51126113,0.55281113,0.59355557,0.52968887,0.6182222,0.20458889,0.10355,0.54045557,0.41211113,-0.034372363,0.0971356,0.11846784,0.099194266,0.07217732,0.048121836,0.022148227,-0.027152475,0.25970426,3.8940515,5.57992,69.79613,39.87
CP567,LS2022,0.49696113,0.4889,0.48019443,0.53210557,0.5217778,0.56106113,0.60343335,0.5650722,0.62745557,0.20233889,0.1035579,0.54080557,0.41143887,0.011645353,0.14652511,0.8708946,0.103495784,0.06561783,0.043748043,0.050515983,0.007913412,0.27849415,3.4378743,5.8968587,58.32395,39.3
CP568,LS2022,0.49660527,0.48250527,0.47491577,0.514,0.51209473,0.55035264,0.5898421,0.55177896,0.61068945,0.2053,0.10353158,0.53164736,0.39707368,0.005613605,0.14882377,0.22830808,0.09811717,0.08176743,0.054515485,0.050458394,0.005845832,0.28189966,3.5674663,5.8085675,61.42025,39.3
CP569,LS2022,0.4950316,0.4813263,0.4782421,0.53170527,0.52224736,0.55932104,0.5985737,0.55996313,0.61991055,0.20316842,0.10362632,0.53828423,0.40337896,0.002598119,0.14309432,0.1633841,0.10107008,0.05627482,0.037519082,0.044445857,0.002587165,0.27901715,3.5219875,5.8349338,60.363316,39.3
CP570,LS2022,0.46357896,0.44568423,0.43633687,0.47422104,0.47251577,0.51080527,0.5497684,0.5122263,0.57122104,0.19454736,0.10358422,0.49608423,0.36895789,0.006932451,0.15203834,-0.19963522,0.10198007,0.08536107,0.056911796,0.053977348,0.005104886,0.25921136,4.0066985,5.519526,72.591576,39.3
CP571,LS2022,0.4740737,0.4518263,0.45141055,0.50217896,0.5002421,0.5363,0.5777316,0.5314316,0.6012737,0.19856842,0.10382106,0.5142,0.37912104,-0.003996475,0.14144295,0.51868486,0.102897204,0.06279796,0.041868262,0.03942956,-0.003082707,0.2581562,4.07726,5.474181,74.48235,38.82
CP572,LS2022,0.5141,0.48529473,0.4788316,0.52618945,0.5270684,0.5638684,0.6045737,0.54938423,0.62793687,0.2147,0.10390526,0.5228,0.38582632,0.002168484,0.14778918,-0.048193112,0.09705533,0.061594803,0.041066572,0.036362574,-0.006957264,0.25111642,4.06897,5.4833565,74.22618,38.82
CP573,LS2022,0.5064,0.4836737,0.4807737,0.54041577,0.5348421,0.5674,0.60604736,0.55921577,0.6270421,0.21614211,0.10400526,0.55294736,0.41482104,-0.017011117,0.123548806,0.15610516,0.10340011,0.044895858,0.029932803,0.030739807,-0.00471509,0.2753874,3.6743079,5.7516384,63.884457,38.82
CP574,LS2022,0.5066684,0.4954579,0.48889473,0.53803687,0.5376,0.57007896,0.60891577,0.57162104,0.6285579,0.21612632,0.10419474,0.5394263,0.39192104,0.010433007,0.16670662,2.3893583,0.10443535,0.06557668,0.043720696,0.03937002,0.003522669,0.28143495,3.4510708,5.865925,58.841103,40.21
CP575,LS2022,0.5114579,0.4994,0.49470527,0.55216313,0.5455684,0.5775263,0.61524736,0.57848945,0.63599473,0.22334736,0.10456316,0.57227896,0.4292,-0.017585795,0.122297406,0.026342347,0.104427576,0.051614825,0.03441211,0.036362153,0.002280443,0.3073109,2.805878,6.2879696,44.623486,40.21
CP576,LS2022,0.5045722,0.48458335,0.4691722,0.4961278,0.4919778,0.52366665,0.5582722,0.52109443,0.5803778,0.19933889,0.10305555,0.48946665,0.36739443,0.01328656,0.1555135,-29.539831,0.066226125,0.059543043,0.039698757,0.035023745,-0.004058421,0.34548596,1.5101858,7.13961,21.165144,38.52
CP577,LS2022,0.47170557,0.45045557,0.44035,0.4689722,0.46705,0.5042278,0.54071665,0.50296665,0.56544443,0.18703334,0.10305,0.4834722,0.35750557,0.000742958,0.14742467,0.21872965,0.08533104,0.078750394,0.052504394,0.04857003,0.001580967,0.31813625,2.626619,6.4567633,40.680187,37.65
CP578,LS2022,0.51166113,0.46970557,0.46626665,0.51388887,0.51371113,0.55126665,0.59098887,0.5295778,0.61658335,0.20447222,0.10312778,0.54235557,0.4136778,-0.029214516,0.104398794,-11.408758,0.0777428,0.030537808,0.020359972,0.015815876,-0.024411928,0.3638073,0.9351811,7.5157695,12.444656,37.65
CP579,LS2022,0.49258335,0.47286665,0.4653278,0.50403335,0.50321113,0.54141113,0.58293887,0.54724443,0.60818335,0.20257778,0.10323889,0.5444722,0.40510557,-0.011963286,0.13274516,-0.6733435,0.10292393,0.0849478,0.05663568,0.05076025,0.006870783,0.4150049,0.7073541,7.5733166,9.340084,37.65
CP580,LS2022,0.47973335,0.46136665,0.45048887,0.47833887,0.4745222,0.52126665,0.56263335,0.53551665,0.59031665,0.19829445,0.10314445,0.5086,0.36934443,0.014415936,0.17322847,1.9359066,0.11360524,0.12653722,0.0843647,0.08093985,0.019516198,0.31892675,2.6306409,6.454301,40.759003,37.65
CP581,LS2022,0.496,0.48028887,0.47021665,0.50153887,0.50475,0.5461,0.58493335,0.5536222,0.60985557,0.20613333,0.1032,0.5367222,0.3986889,0.003494806,0.15062892,0.5007541,0.10390409,0.103450924,0.06897209,0.058660123,0.010451024,0.41948307,0.705134,7.5495315,9.340102,38.06
CP582,LS2022,0.49006665,0.47596113,0.46273887,0.49729443,0.49483335,0.53356665,0.57175557,0.5437722,0.59575,0.20477778,0.10338334,0.53364443,0.40001667,-0.000584892,0.14191985,-0.27859327,0.10215609,0.089158624,0.059443064,0.05771407,0.01164191,0.4228776,0.70412195,7.538656,9.340152,38.06
CP583,LS2022,0.4714778,0.45148887,0.44231113,0.4804222,0.4775,0.51380557,0.55175,0.51691113,0.57336113,0.19964445,0.10351111,0.5165222,0.38827778,-0.010907396,0.13001376,-0.56378627,0.09636083,0.07283534,0.048560377,0.049049433,0.003358796,0.41476056,0.7055454,7.553964,9.340068,38.06
CP584,LS2022,0.4703778,0.44248887,0.43038335,0.46666113,0.46611113,0.5031278,0.53949443,0.50155557,0.56300557,0.19638889,0.10340555,0.51060557,0.37956667,-0.023172623,0.123526886,1.1144171,0.09800561,0.07697736,0.051322203,0.046901505,0.000170439,0.3816885,0.7107908,7.610333,9.339812,38.06
CP585,LS2022,0.4769222,0.46783887,0.4568722,0.48465,0.48143887,0.5198722,0.55601113,0.52820557,0.5787,0.19671666,0.10320555,0.5135722,0.3839611,-0.000856371,0.14303616,0.28744408,0.09393527,0.09231417,0.061547387,0.057435825,0.008809883,0.3581371,1.0335787,7.3685565,14.026881,41.03
CP586,LS2022,0.45216665,0.42929443,0.41800557,0.44090557,0.44363335,0.49235557,0.53136665,0.4942222,0.55388887,0.18821111,0.10303334,0.46429443,0.3402389,0.021887567,0.17714216,1.8480836,0.10978875,0.12702648,0.084691204,0.07322867,0.007407224,0.26918724,3.704799,5.678839,65.23943,41.03
CP587,LS2022,0.4659722,0.44311665,0.4400222,0.48895,0.48413335,0.52066665,0.55784443,0.51298335,0.5796,0.19153889,0.10311666,0.51745557,0.3853111,-0.02468961,0.12078234,0.8782204,0.10137468,0.056126826,0.03742077,0.038019888,-0.003313679,0.2378636,4.3514556,5.248142,82.9146,41.03
CP588,LS2022,0.44628335,0.42493335,0.41423887,0.4361,0.44316665,0.50819443,0.55374443,0.51296113,0.5768778,0.18996111,0.10332778,0.4758778,0.34768333,0.02831288,0.18455754,1.7771949,0.14305487,0.17511185,0.11675023,0.09715168,0.008679421,0.23623668,5.3878926,6.217725,86.67225,36.37
CP589,LS2022,0.4429778,0.42263335,0.4103222,0.41483335,0.42466113,0.50466113,0.55360557,0.51083887,0.57521113,0.19097778,0.10333889,0.42815,0.31149443,0.09165576,0.25422153,-7.4917073,0.14891721,0.23412906,0.15609893,0.12823991,0.010928776,0.20069027,6.543352,6.101335,107.24457,36.37
CP590,LS2022,0.46096113,0.44603335,0.4321222,0.44659443,0.45803335,0.50955557,0.55085,0.5130778,0.56299443,0.19297222,0.10351666,0.43066113,0.3213389,0.10157926,0.24745369,-1.5709518,0.11859102,0.17139506,0.114273526,0.08245261,0.009380306,0.32380703,2.6198389,6.4790545,40.444443,36.37
CP591,LS2022,0.4559722,0.43596665,0.42519443,0.44823335,0.44988335,0.50313335,0.54188335,0.4980778,0.56175557,0.18798889,0.10371666,0.4456778,0.32849443,0.04750267,0.20235455,-0.021263914,0.10232931,0.11832936,0.07889263,0.06706606,-0.003243912,0.30179492,3.0861963,6.187294,49.88201,36.37
CP592,LS2022,0.46515,0.43943887,0.42880557,0.45766113,0.4597278,0.50785557,0.54761665,0.50363887,0.56815,0.19327778,0.10395555,0.4761278,0.35680557,0.01558267,0.15669136,1.0585715,0.10418356,0.10338437,0.0689282,0.06013043,-0.001285586,0.3019842,3.0354368,6.1916556,49.0262,37.53
